id,weight,height,sex,smokes
S1470,96,NA,female,no
S1439,64,NA,female,no
S1219,81,166,male,yes
S1104,99,173,male,no
S1336,77,NA,female,yes
S1436,95,NA,female,no
S1278,83,NA,female,no
S1409,59,NA,female,no
S1357,69,NA,female,no
S1217,83,172,male,no
S1043,80,166,male,no
S1335,67,NA,female,no
S1407,61,NA,female,no
S1084,111,180,male,no
S1142,97,173,male,yes
S1009,67,170,male,no
S1183,89,173,male,no
S1164,102,198,male,no
S1399,94,NA,female,yes
S1227,92,170,male,no
S1126,78,170,male,no
S1225,98,172,male,no
S1119,61,169,male,no
S1276,81,NA,female,no
S1427,82,NA,female,no
S1309,120,NA,female,no
S1101,91,170,male,no
S1081,91,175,male,no
S1355,65,NA,female,no
S1472,85,NA,female,no
S1411,107,NA,female,no
S1414,94,NA,female,no
S1374,59,NA,female,no
S1006,104,187,male,no
S1068,114,175,male,no
S1390,41,NA,female,no
S1299,63,NA,female,no
S1143,72,164,male,no
S1033,73,181,male,yes
S1257,60,NA,female,no
S1108,81,163,male,no
S1397,85,NA,female,no
S1251,68,NA,female,no
S1066,105,177,male,no
S1244,75,NA,female,no
S1307,87,164,female,no
S1270,40,NA,female,no
S1418,47,NA,female,no
S1193,82,176,male,no
S1303,42,NA,female,no
S1187,95,183,male,no
S1320,64,NA,female,no
S1177,88,175,male,no
S1017,77,179,male,no
S1115,105,179,male,no
S1044,117,190,male,no
S1135,81,160,male,no
S1093,102,177,male,no
S1195,83,166,male,no
S1447,62,NA,female,no
S1317,68,NA,female,no
S1130,92,174,male,no
S1391,87,NA,female,no
S1194,103,169,male,no
S1097,115,191,male,no
S1182,90,184,male,no
S1410,83,NA,female,no
S1167,82,180,male,no
S1279,92,NA,female,no
S1216,110,187,male,no
S1141,81,180,male,no
S1353,91,NA,female,no
S1162,76,168,male,no
S1319,75,NA,female,no
S1180,81,172,male,no
S1148,100,180,male,no
S1315,76,NA,female,no
S1384,57,NA,female,no
S1224,112,180,male,no
S1152,93,180,male,no
S1324,76,NA,female,no
S1010,83,172,male,no
S1064,95,168,male,no
S1070,132,190,male,no
S1031,99,178,male,yes
S1293,97,NA,female,no
S1184,88,169,male,no
S1412,75,NA,female,no
S1046,88,167,male,no
S1444,63,NA,female,no
S1261,86,NA,female,no
S1056,105,186,male,no
S1250,61,NA,female,yes
S1249,69,NA,female,no
S1273,93,NA,female,yes
S1448,74,NA,female,no
S1242,75,NA,female,no
S1238,102,NA,female,no
S1290,63,NA,female,no
S1027,96,181,male,yes
S1434,62,NA,female,no
S1248,51,NA,female,no
S1008,73,166,male,yes
S1004,114,176,male,no
S1082,107,178,male,no
S1280,66,NA,female,no
S1005,88,176,male,no
S1069,96,182,male,yes
S1337,77,NA,female,no
S1150,68,166,male,no
S1344,58,NA,female,no
S1302,72,NA,female,no
S1402,52,NA,female,no
S1051,91,177,male,no
S1330,72,NA,female,no
S1025,77,171,male,no
S1021,65,167,male,no
S1079,94,176,male,no
S1333,93,NA,female,no
S1301,73,NA,female,no
S1341,72,NA,female,no
S1380,89,NA,female,no
S1229,73,NA,female,no
S1360,67,NA,female,no
S1326,92,NA,female,no
S1100,80,168,male,no
S1316,64,NA,female,no
S1389,96,NA,female,no
S1191,96,177,male,no
S1442,72,NA,female,no
S1125,72,188,male,no
S1467,54,NA,female,no
S1213,115,184,male,no
S1088,86,178,male,no
S1297,76,NA,female,no
S1212,61,177,male,no
S1122,70,168,male,no
S1040,83,172,male,no
S1331,55,NA,female,no
S1155,90,174,male,no
S1089,95,173,male,no
S1118,83,170,male,no
S1112,104,179,male,no
S1358,73,NA,female,yes
S1430,81,NA,female,no
S1281,70,NA,female,no
S1340,85,NA,female,no
S1013,81,178,male,no
S1094,87,171,male,no
S1083,110,172,male,no
S1343,83,NA,female,no
S1160,91,172,male,no
S1103,86,173,male,no
S1323,52,NA,female,no
S1077,73,173,male,yes
S1431,84,NA,female,no
S1186,95,174,male,no
S1014,79,176,male,no
S1289,101,NA,female,no
S1127,92,177,male,no
S1262,82,168,female,no
S1099,95,173,male,no
S1147,88,165,male,no
S1294,71,NA,female,no
S1032,85,173,male,no
S1016,124,188,male,no
S1179,70,178,male,no
S1468,94,NA,female,no
S1347,102,NA,female,no
S1116,112,177,male,no
S1329,58,NA,female,yes
S1161,80,182,male,yes
S1327,86,NA,female,no
S1458,58,NA,female,no
S1254,48,NA,female,no
S1334,50,NA,female,no
S1325,102,NA,female,no
S1098,92,186,male,no
S1474,87,NA,female,no
S1198,71,166,male,no
S1256,84,NA,female,yes
S1042,82,174,male,no
S1131,98,185,male,no
S1202,121,184,male,no
S1156,88,173,male,no
S1403,69,NA,female,yes
S1260,106,NA,female,no
S1047,68,172,male,no
S1189,58,180,male,yes
S1464,40,NA,female,no
S1310,99,NA,female,no
S1206,89,172,male,no
S1049,88,181,male,no
S1286,92,NA,female,no
S1311,59,NA,female,no
S1406,86,NA,female,no
S1268,58,NA,female,yes
S1369,81,NA,female,no
S1209,85,187,male,no
S1036,94,180,male,no
S1085,95,173,male,no
S1435,60,NA,female,no
S1211,103,176,male,no
S1429,81,NA,female,no
S1432,63,NA,female,no
S1231,68,NA,female,no
S1011,103,184,male,no
S1446,94,NA,female,no
S1426,68,NA,female,no
S1354,98,NA,female,no
S1413,77,NA,female,yes
S1287,63,NA,female,no
S1420,59,NA,female,no
S1114,96,175,male,no
S1172,72,175,male,no
S1060,93,177,male,no
S1019,119,180,male,no
S1457,70,NA,female,no
S1109,60,172,male,no
S1415,71,NA,female,no
S1419,60,NA,female,yes
S1461,77,165,female,no
S1269,79,NA,female,yes
S1443,81,NA,female,no
S1110,77,182,male,no
S1312,87,NA,female,no
S1465,83,NA,female,no
S1423,72,NA,female,no
S1234,69,NA,female,no
S1121,82,176,male,no
S1283,101,NA,female,no
S1460,61,NA,female,yes
S1365,55,NA,female,no
S1132,59,178,male,no
S1058,94,179,male,no
S1226,94,175,male,no
S1395,91,NA,female,no
S1295,107,176,female,no
S1218,75,170,male,no
S1138,104,180,male,no
S1252,82,NA,female,no
S1001,75,171,male,no
S1203,68,173,male,no
S1271,54,NA,female,no
S1362,95,NA,female,no
S1363,71,NA,female,no
S1090,95,183,male,no
S1007,81,178,male,no
S1232,69,NA,female,no
S1233,73,NA,female,no
S1274,60,NA,female,no
S1236,55,NA,female,no
S1111,82,171,male,no
S1095,116,185,male,no
S1065,93,167,male,no
S1451,90,NA,female,no
S1190,83,171,male,no
S1473,72,NA,female,no
S1237,71,NA,female,no
S1208,85,171,male,no
S1459,83,NA,female,no
S1445,64,NA,female,no
S1062,82,171,male,no
S1366,73,NA,female,no
S1422,83,NA,female,no
S1332,65,NA,female,no
S1318,96,NA,female,no
S1106,79,175,male,no
S1378,61,NA,female,no
S1073,113,182,male,no
S1285,74,NA,female,no
S1255,79,NA,female,no
S1339,65,NA,female,no
S1223,74,183,male,no
S1456,81,NA,female,yes
S1291,82,NA,female,no
S1055,95,173,male,no
S1163,83,166,male,no
S1200,108,167,male,yes
S1381,77,NA,female,no
S1305,66,NA,female,no
S1022,78,173,male,no
S1185,89,173,male,no
S1134,83,172,male,no
S1241,45,NA,female,no
S1401,73,NA,female,no
S1015,78,171,male,no
S1205,90,172,male,no
S1277,80,NA,female,yes
S1137,90,165,male,no
S1296,57,NA,female,no
S1383,73,NA,female,no
S1313,79,NA,female,no
S1214,69,171,male,no
S1165,59,172,male,yes
S1041,62,170,male,no
S1039,105,173,male,no
S1245,68,NA,female,no
S1228,87,NA,female,no
S1012,95,178,male,no
S1196,105,189,male,no
S1304,88,NA,female,no
S1113,76,164,male,no
S1028,110,176,male,no
S1174,103,190,male,no
S1308,72,NA,female,no
S1469,80,NA,female,no
S1002,97,173,male,no
S1117,90,176,male,no
S1314,76,NA,female,no
S1338,93,NA,female,no
S1462,80,NA,female,no
S1201,105,191,male,yes
S1080,62,174,male,no
S1433,55,NA,female,no
S1424,138,NA,female,no
S1159,114,182,male,no
S1035,88,181,male,no
S1176,73,167,male,no
S1188,84,176,male,no
S1455,72,NA,female,no
S1026,73,163,male,no
S1154,82,168,male,no
S1168,78,172,male,no
S1018,73,161,male,no
S1417,88,NA,female,no
S1386,90,NA,female,no
S1452,73,NA,female,no
S1475,81,NA,female,no
S1153,67,177,male,no
S1078,74,166,male,no
S1367,66,NA,female,yes
S1029,79,167,male,no
S1072,73,159,male,no
S1054,75,185,male,no
S1437,90,NA,female,no
S1220,84,166,male,no
S1045,111,184,male,yes
S1052,94,175,male,no
S1105,67,168,male,no
S1328,91,NA,female,no
S1463,73,NA,female,no
S1385,62,NA,female,no
S1450,69,NA,female,no
S1356,74,NA,female,no
S1221,95,171,male,no
S1076,82,182,male,no
S1149,95,190,male,no
S1215,87,168,male,no
S1144,104,164,male,no
S1204,90,179,male,no
S1102,107,177,male,no
S1454,76,NA,female,no
S1020,84,172,male,no
S1428,49,NA,female,no
S1263,81,NA,female,no
S1264,74,NA,female,no
S1243,67,160,female,no
S1258,87,NA,female,yes
S1210,97,175,male,yes
S1266,53,NA,female,no
S1387,64,NA,female,no
S1346,71,NA,female,no
S1392,89,NA,female,no
S1075,74,170,male,yes
S1349,84,NA,female,no
S1171,97,173,male,no
S1123,83,172,male,no
S1371,59,NA,female,no
S1400,78,NA,female,no
S1275,60,NA,female,no
S1300,61,NA,female,no
S1169,112,179,male,no
S1048,96,172,male,yes
S1352,62,NA,female,no
S1207,70,169,male,no
