id,weight,height,sex,smokes
UK_0309,189.6,69.7,male,1
UK_0310,180.8,61.4,female,0
UK_0311,253.5,68.9,male,0
UK_0312,207.2,73.6,Male,1
UK_0313,264.6,74,male,0
UK_0314,218.3,64.6,male,0
UK_0315,163.1,66.1,FEMALE,0
UK_0316,216,65.7,FEMALE,0
UK_0317,185.2,68.1,male,0
UK_0318,198.4,66.5,Woman,0
UK_0319,999,-1,male,0
UK_0320,114.6,64.2,female,0
UK_0321,999,64.2,male,0
UK_0322,176.4,62.6,female,0
UK_0323,183,-1,male,1
UK_0324,138.9,64.6,male,0
UK_0325,218.3,61.8,female,1
UK_0326,284.4,72.4,male,0
UK_0327,174.2,70.5,male,0
UK_0328,198.4,65.7,female,0
UK_0329,231.5,72,male,0
UK_0330,209.4,72.8,male,0
UK_0331,143.3,69.7,male,0
UK_0332,180.8,67.3,male,0
UK_0333,205,74,male,1
UK_0334,207.2,61.8,male,0
UK_0335,158.7,72.4,male,0
UK_0336,147.7,65,female,1
UK_0337,127.9,67.7,male,1
UK_0338,196.2,66.9,male,1
UK_0339,169.8,67.3,MALE,0
UK_0340,158.7,63.4,female,0
UK_0341,999,68.1,male,1
UK_0342,189.6,-1,male,0
UK_0343,152.1,61.8,female,0
UK_0344,172,67.7,Male,0
UK_0345,187.4,70.9,Male,1
UK_0346,999,72.4,male,0
UK_0347,209.4,71.7,male,0
UK_0348,200.6,69.3,male,0
UK_0349,123.5,67.3,male,0
UK_0350,172,68.1,male,0
UK_0351,178.6,68.1,male,0
UK_0352,242.5,70.9,male,0
UK_0353,211.6,66.1,female,0
UK_0354,194,66.9,Male,0
UK_0355,282.2,73.2,male,0
UK_0356,207.2,66.1,male,0
UK_0357,198.4,67.3,male,0
UK_0358,277.8,72.4,male,0
UK_0359,169.8,67.3,male,0
UK_0360,167.5,65,male,0
UK_0361,999,62.6,male,1
UK_0362,136.7,64.6,male,1
UK_0363,231.5,72.4,male,0
UK_0364,176.4,70.9,male,0
UK_0365,244.7,71.7,male,0
UK_0366,999,63,male,0
UK_0367,119,65,female,0
UK_0368,222.7,70.1,Male,0
UK_0369,167.5,66.1,female,0
UK_0370,257.9,74.8,male,0
UK_0371,999,71.7,male,0
UK_0372,191.8,72.8,male,0
UK_0373,207.2,71.3,male,0
UK_0374,191.8,66.1,male,0
UK_0375,169.8,68.9,Female,0
UK_0376,163.1,59.1,female,0
UK_0377,160.9,64.2,female,0
UK_0378,213.8,74.4,male,0
UK_0379,167.5,64.2,female,0
UK_0380,180.8,65.4,male,0
UK_0381,207.2,71.3,male,0
UK_0382,178.6,65.7,Male,0
UK_0383,123.5,70.5,male,1
UK_0384,999,67.3,Male,0
UK_0385,257.9,72,male,1
UK_0386,158.7,68.9,male,0
UK_0387,207.2,-1,male,0
UK_0388,136.7,68.1,male,0
UK_0389,152.1,65.7,female,0
UK_0390,196.2,72.4,male,0
UK_0391,176.4,70.9,male,0
UK_0392,163.1,62.6,female,1
UK_0393,196.2,68.1,male,0
UK_0394,185.2,69.3,female,0
UK_0395,185.2,70.5,Male,0
UK_0396,209.4,71.7,male,1
UK_0397,174.2,67.3,male,0
UK_0398,999,65.4,female,0
UK_0399,224.9,67.3,Male,0
UK_0400,211.6,76,male,1
UK_0401,255.7,69.7,male,0
UK_0402,183,69.3,male,0
UK_0403,114.6,61,female,0
UK_0404,189.6,64.2,female,0
UK_0405,167.5,62.6,FEMALE,0
UK_0406,143.3,61,female,0
UK_0407,167.5,66.9,MALE,0
UK_0408,152.1,66.9,male,0
UK_0409,999,69.7,male,0
UK_0410,174.2,65.7,male,1
UK_0411,183,69.3,male,0
UK_0412,141.1,62.2,female,0
UK_0413,158.7,65,Female,0
UK_0414,227.1,69.7,male,0
UK_0415,136.7,65,female,0
UK_0416,141.1,69.3,male,0
UK_0417,156.5,70.9,male,1
UK_0418,121.3,64.2,MALE,0
UK_0419,141.1,67.3,male,0
UK_0420,200.6,73.2,male,0
UK_0421,207.2,73.2,male,0
UK_0422,200.6,69.7,male,1
UK_0423,114.6,65.7,female,0
UK_0424,180.8,66.9,male,1
UK_0425,165.3,67.7,male,1
UK_0426,145.5,66.5,male,0
UK_0427,130.1,65.7,Woman,0
UK_0428,213.8,69.7,male,0
UK_0429,163.1,63.4,female,0
UK_0430,189.6,66.1,male,0
UK_0431,202.8,68.9,male,0
UK_0432,149.9,69.3,male,0
UK_0433,121.3,63,female,0
UK_0434,999,72,male,0
UK_0435,145.5,63.4,female,0
UK_0436,191.8,-1,male,1
UK_0437,198.4,68.9,Male,1
UK_0438,200.6,68.9,male,1
UK_0439,999,73.6,male,0
UK_0440,999,66.1,female,0
UK_0441,999,72.4,Male,0
UK_0442,999,69.3,male,0
UK_0443,224.9,70.9,male,0
UK_0444,183,68.9,Male,1
UK_0445,180.8,68.5,male,0
UK_0446,180.8,60.6,female,0
UK_0447,224.9,73.6,male,0
UK_0448,220.5,69.7,male,0
UK_0449,158.7,69.7,male,0
UK_0450,141.1,63.8,female,0
UK_0451,999,66.5,male,1
UK_0452,216,67.7,male,0
UK_0453,143.3,-1,female,0
UK_0454,189.6,66.9,male,0
UK_0455,163.1,65.4,female,0
UK_0456,218.3,71.7,male,0
UK_0457,167.5,66.1,male,0
UK_0458,222.7,74.4,Male,0
UK_0459,187.4,63.8,female,1
UK_0460,999,64.2,female,1
UK_0461,167.5,66.1,male,0
UK_0462,180.8,-1,male,0
UK_0463,999,67.7,male,0
UK_0464,200.6,64.2,female,1
UK_0465,169.8,64.2,female,0
UK_0466,999,75.2,male,0
UK_0467,191.8,67.3,Male,0
UK_0468,999,67.7,FEMALE,0
UK_0469,999,68.5,male,0
UK_0470,167.5,66.1,male,0
UK_0471,121.3,63,female,0
UK_0472,207.2,72.4,male,1
UK_0473,205,72.4,male,1
UK_0474,156.5,66.1,male,0
UK_0475,211.6,66.1,female,1
UK_0476,178.6,63,female,0
UK_0477,141.1,62.6,Female,0
UK_0478,154.3,64.2,female,0
UK_0479,242.5,72.8,male,0
UK_0480,191.8,67.7,Male,0
UK_0481,999,67.3,male,0
UK_0482,207.2,72,male,0
UK_0483,169.8,68.1,male,0
UK_0484,152.1,59.4,Female,1
UK_0485,185.2,71.3,male,0
UK_0486,229.3,70.1,female,0
UK_0487,207.2,68.9,male,0
UK_0488,999,69.3,male,0
UK_0489,207.2,63.8,FEMALE,0
UK_0490,189.6,62.6,male,0
UK_0491,176.4,70.1,male,0
UK_0492,205,64.2,female,0
UK_0493,172,66.5,male,0
UK_0494,189.6,65,male,0
UK_0495,999,70.9,male,0
UK_0496,999,61.8,female,0
UK_0497,189.6,70.5,male,1
UK_0498,205,65,FEMALE,0
UK_0499,202.8,69.7,male,1
UK_0500,174.2,66.1,female,0
UK_0501,218.3,70.1,male,0
UK_0502,158.7,63.8,female,0
UK_0503,143.3,68.1,male,0
UK_0504,174.2,65.4,female,0
UK_0505,178.6,65.7,male,0
UK_0506,141.1,66.1,male,0
UK_0507,222.7,75.2,male,0
UK_0508,191.8,69.3,male,0
UK_0509,167.5,67.7,male,0
UK_0510,211.6,66.5,female,0
UK_0511,209.4,68.5,male,0
UK_0512,176.4,67.3,male,0
UK_0513,999,-1,female,0
UK_0514,138.9,59.1,FEMALE,1
UK_0515,224.9,68.9,male,0
UK_0516,158.7,61,female,0
UK_0517,143.3,67.3,female,0
UK_0518,158.7,70.1,male,1
UK_0519,167.5,72,male,0
UK_0520,220.5,-1,male,0
UK_0521,213.8,72.4,male,0
UK_0522,200.6,72.8,male,1
UK_0523,194,73.6,Male,1
UK_0524,176.4,65.4,Male,0
UK_0525,218.3,-1,male,0
UK_0526,205,70.1,male,0
UK_0527,176.4,61.8,female,0
UK_0528,174.2,69.3,male,0
UK_0529,172,61,female,1
UK_0530,202.8,68.1,male,0
UK_0531,194,66.5,male,0
UK_0532,185.2,68.1,male,0
UK_0533,180.8,65.7,Female,1
UK_0534,130.1,62.2,female,0
UK_0535,209.4,68.5,male,0
UK_0536,138.9,67.3,male,0
UK_0537,191.8,73.6,male,1
UK_0538,189.6,-1,male,1
UK_0539,242.5,-1,male,1
UK_0540,183,67.7,male,1
UK_0541,160.9,67.7,Male,1
UK_0542,180.8,70.5,male,0
UK_0543,176.4,73.6,male,0
UK_0544,189.6,62.2,female,0
UK_0545,216,70.5,male,0
UK_0546,231.5,70.1,male,0
UK_0547,97,58.3,female,0
UK_0548,176.4,63,female,0
UK_0549,205,-1,male,1
UK_0550,999,67.3,male,0
UK_0551,191.8,70.1,male,0
UK_0552,253.5,74.8,Male,0
UK_0553,189.6,63,male,0
UK_0554,160.9,65.4,female,1
UK_0555,194,69.7,male,0
UK_0556,211.6,66.9,male,0
UK_0557,185.2,69.3,male,0
UK_0558,145.5,68.5,male,0
UK_0559,255.7,69.3,male,0
UK_0560,167.5,67.7,FEMALE,0
UK_0561,160.9,66.9,male,0
UK_0562,999,68.5,male,0
UK_0563,220.5,71.3,male,0
UK_0564,147.7,65.4,male,0
UK_0565,138.9,63,male,0
UK_0566,198.4,63,female,0
UK_0567,999,66.5,female,0
UK_0568,187.4,67.7,male,0
UK_0569,194,74.4,male,0
UK_0570,233.7,70.9,Male,0
UK_0571,194,71.7,male,0
UK_0572,189.6,68.5,male,0
UK_0573,189.6,74.4,male,0
UK_0574,136.7,68.5,male,0
UK_0575,255.7,70.1,male,1
UK_0576,180.8,67.3,male,0
UK_0577,229.3,72.4,male,0
UK_0578,262.3,73.6,male,0
UK_0579,154.3,68.5,male,0
UK_0580,143.3,68.1,male,1
UK_0581,130.1,59.4,female,0
UK_0582,187.4,62.6,female,0
UK_0583,132.3,-1,female,0
UK_0584,198.4,61.8,female,0
UK_0585,189.6,68.1,male,0
UK_0586,183,64.2,female,1
UK_0587,145.5,61.8,female,0
UK_0588,165.3,-1,male,0
UK_0589,178.6,70.9,male,0
UK_0590,207.2,68.9,male,0
UK_0591,176.4,68.1,male,0
UK_0592,123.5,63.4,female,0
UK_0593,101.4,59.8,FEMALE,1
UK_0594,81.6,65,female,0
UK_0595,163.1,68.9,male,0
UK_0596,149.9,69.3,male,0
UK_0597,999,70.1,male,0
UK_0598,167.5,64.2,FEMALE,0
UK_0599,216,62.6,female,0
UK_0600,211.6,68.9,male,0
UK_0601,169.8,66.1,Male,0
UK_0602,185.2,67.3,male,0
UK_0603,147.7,-1,male,1
UK_0604,999,69.7,male,0
UK_0605,202.8,70.9,male,0
UK_0606,999,65.4,male,1
UK_0607,189.6,68.9,male,0
UK_0608,180.8,70.1,male,0
UK_0609,999,65,female,1
UK_0610,187.4,65.7,male,0
UK_0611,999,66.1,male,1
UK_0612,999,63.4,female,0
UK_0613,999,68.1,male,0
UK_0614,218.3,73.2,male,0
UK_0615,176.4,70.1,Male,1
UK_0616,134.5,63,male,1
UK_0617,191.8,68.1,male,1
UK_0618,999,66.1,male,0
UK_0619,165.3,60.6,female,0
UK_0620,189.6,67.3,female,0
UK_0621,143.3,63.4,female,1
UK_0622,198.4,70.1,male,0
UK_0623,194,65.4,female,0
UK_0624,178.6,69.3,male,0
UK_0625,163.1,68.9,male,0
UK_0626,183,65.7,male,0
UK_0627,999,66.9,male,0
UK_0628,220.5,72,male,0
UK_0629,163.1,70.9,male,0
UK_0630,141.1,66.1,male,1
UK_0631,205,70.9,male,0
UK_0632,178.6,66.5,female,1
UK_0633,200.6,66.1,FEMALE,0
UK_0634,200.6,70.1,male,0
UK_0635,999,65.7,Male,0
UK_0636,180.8,63.4,female,1
UK_0637,229.3,71.3,male,0
UK_0638,145.5,66.9,Male,0
UK_0639,255.7,69.3,male,0
UK_0640,213.8,68.5,male,0
UK_0641,189.6,68.1,male,0
UK_0642,145.5,65.7,female,0
UK_0643,211.6,70.9,male,0
UK_0644,213.8,65,male,1
UK_0645,999,67.3,male,0
UK_0646,999,66.1,male,0
UK_0647,187.4,66.9,MALE,0
UK_0648,165.3,64.6,female,0
UK_0649,198.4,64.2,female,1
UK_0650,194,70.9,male,0
UK_0651,999,63,female,0
UK_0652,191.8,73.2,male,0
UK_0653,143.3,64.2,male,1
UK_0654,152.1,63.4,male,0
UK_0655,132.3,65.7,female,0
UK_0656,134.5,65,female,0
UK_0657,116.8,68.9,MALE,0
UK_0658,176.4,66.1,female,0
UK_0659,185.2,68.5,male,0
UK_0660,165.3,68.9,male,0
UK_0661,224.9,71.7,male,0
UK_0662,152.1,59.8,female,0
UK_0663,200.6,71.7,male,0
UK_0664,209.4,70.1,male,0
UK_0665,174.2,66.9,male,0
UK_0666,92.6,66.5,female,0
UK_0667,180.8,64.2,male,1
UK_0668,191.8,70.9,Male,0
UK_0669,189.6,68.5,male,0
UK_0670,134.5,64.2,male,0
UK_0671,185.2,65,male,0
UK_0672,200.6,70.9,male,0
UK_0673,138.9,72.4,male,0
UK_0674,156.5,67.7,male,0
UK_0675,176.4,65.4,male,0
UK_0676,246.9,73.2,Male,0
UK_0677,202.8,66.9,male,0
UK_0678,99.2,65,female,0
UK_0679,156.5,62.2,Woman,0
UK_0680,191.8,71.7,male,0
UK_0681,156.5,66.9,male,0
UK_0682,158.7,64.2,female,0
UK_0683,163.1,67.7,male,0
UK_0684,169.8,65,male,0
UK_0685,174.2,72.4,male,0
UK_0686,147.7,59.1,female,0
UK_0687,172,70.5,male,0
UK_0688,191.8,72,male,0
UK_0689,132.3,-1,female,0
UK_0690,156.5,61.8,female,0
UK_0691,176.4,65.4,male,1
UK_0692,205,72.4,male,0
UK_0693,130.1,66.1,female,0
UK_0694,114.6,63.4,female,0
